Supplier,Industry,Fuel,Origin,Destination,Mode,Year,Value
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2030,0.0
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2045,19.614127531430523
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2050,32.10678731886761
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2030,0.0
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2035,0.0
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2040,0.0
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2045,0.0
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2050,0.0
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2030,0.0
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2035,1.3923344250741128
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2040,1.1391827114242739
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2045,0.5063034272996797
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2030,0.6478110760014806
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2035,12.656952289490471
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2040,12.656952289490471
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2045,12.656952289490471
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2050,12.65695228949047
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2030,0.0
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2030,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2030,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2030,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2035,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2040,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2045,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2050,0.0
Port,Steel,H2,Hamburg,Duisburg,pipeline,2030,3.948459423590808
Port,Steel,H2,Hamburg,Duisburg,pipeline,2035,12.546459539675418
Port,Steel,H2,Hamburg,Duisburg,pipeline,2040,12.546459539675418
Port,Steel,H2,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,H2,Hamburg,Duisburg,pipeline,2050,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2050,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2050,0.0
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,LCNH3,Hamburg,Duisburg,pipeline,2050,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,LCMeOH,Hamburg,Duisburg,pipeline,2050,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,LCH2,Hamburg,Duisburg,pipeline,2050,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,H2,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,H2,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,NH3,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2030,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2035,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2040,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2045,0.0
Port,Port,NH3,Hamburg,Antofagasta,shipping,2050,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2030,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2035,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2040,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2045,0.0
Port,Port,NH3,Antofagasta,Hamburg,shipping,2050,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,NH3,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,MeOH,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2030,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2035,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2040,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2045,0.0
Port,Port,MeOH,Hamburg,Antofagasta,shipping,2050,0.0
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2030,1.5823506913781165
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2035,1.5823506913781156
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2040,1.5823506913781165
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2045,1.5823506913781156
Port,Port,MeOH,Antofagasta,Hamburg,shipping,2050,1.5823506913781165
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,MeOH,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,LCNH3,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,LCNH3,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,LCMeOH,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,LCMeOH,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2030,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2035,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2040,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2045,0.0
Port,Port,LCH2,Hamburg,Hamburg,pipeline,2050,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2030,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2035,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2040,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2045,0.0
Port,Port,LCH2,Antofagasta,Antofagasta,pipeline,2050,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2030,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2035,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2040,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2045,0.0
Port,Port,LH2,Hamburg,Antofagasta,shipping,2050,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2030,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2035,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2040,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2045,0.0
Port,Port,LH2,Antofagasta,Hamburg,shipping,2050,0.0
