Supplier,Industry,Fuel,Origin,Destination,Mode,Year,Value
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,LCNH3,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,LCMeOH,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2030,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2035,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2040,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2045,0.0
Port,Fertilizer,LCH2,Hamburg,Ludwigshafen,pipeline,2050,0.0
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2030,0.0
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,H2,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2030,32.10678731886761
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,NH3,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2030,0.0
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2035,0.0
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2040,0.0
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2045,0.0
Port,Shipping,NH3,Antofagasta,Hamburg,shipping,2050,0.0
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2030,1.3923344250741128
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,MeOH,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2030,12.656952289490471
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2035,0.0
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2040,0.0
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2045,0.0
Port,Shipping,MeOH,Antofagasta,Hamburg,shipping,2050,0.0
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2030,0.0
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,LCNH3,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2030,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,LCMeOH,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2030,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2035,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2040,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2045,0.0
Port,Shipping,LCH2,Hamburg,Hamburg,pipeline,2050,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2030,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2035,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2040,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2045,0.0
Port,Shipping,LH2,Antofagasta,Hamburg,shipping,2050,0.0
Port,Steel,H2,Hamburg,Duisburg,pipeline,2030,12.546459539675418
Port,Steel,H2,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,H2,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,H2,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,H2,Hamburg,Duisburg,pipeline,2050,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,NH3,Hamburg,Duisburg,pipeline,2050,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2030,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2035,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2040,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2045,0.0
Port,Steel,MeOH,Hamburg,Duisburg,pipeline,2050,0.0
