Industry;Process;Fuel;Status;Year;Parameter;Unit;Fichtner_Value;Source;Other_Value;Source_1;Description;Comment
Shipping;ICE;NH3;;2035;Capex;€/kW;;;500;;;
Shipping;ICE;NH3;;2040;Capex;€/kW;;;500;;;
Shipping;ICE;NH3;;2045;Capex;€/kW;;;500;;;
Shipping;ICE;NH3;;2050;Capex;€/kW;;;500;;;
steel;Bof;Gas;;2030;Input Stichiometry;;;;2;;;
steel;Bof;Gas;;2035;Input Stichiometry;;;;2;;;
steel;Bof;Gas;;2040;Input Stichiometry;;;;2;;;
steel;Bof;Gas;;2045;Input Stichiometry;;;;2;;;
steel;Bof;Gas;;2050;Input Stichiometry;;;;2;;;
steel;Bof;Coal;;2030;Input Stichiometry;;;;5;;;
steel;Bof;Coal;;2035;Input Stichiometry;;;;5;;;
steel;Bof;Coal;;2040;Input Stichiometry;;;;5;;;
steel;Bof;Coal;;2045;Input Stichiometry;;;;5;;;
steel;Bof;Coal;;2050;Input Stichiometry;;;;5;;;
